Song,cluster,Title,Quadrant
MT0003421433,1,Killing Me Softly,Q4
MT0003428477,1,Polka Dots and Moonbeams,Q4
MT0003435704,1,Absence of the Heart,Q3
MT0003440957,1,Telegram Sam,Q1
MT0003444822,0,Hate Me,Q2
MT0003462877,0,All Fall Down,Q2
MT0003473344,1,Candle on the Water,Q4
MT0003482336,1,Brigade Song,Q2
MT0003496132,0,Wake Up,Q2
MT0003501434,1,Modulation,Q3
MT0003503243,1,I F****** Hate You,Q2
MT0003504525,0,Ain't No Santa,Q3
MT0003510796,0,Rock the House [Edit],Q4
MT0003517837,1,You're Not Wrong for Loving Me,Q4
MT0003536193,1,Ain't No Mountain High Enough,Q1
MT0003539442,0,Nihilism 2002,Q2
MT0003542756,1,You Turned the Tables on Me,Q3
MT0003570082,1,Wet Dream,Q1
MT0003587042,0,God Is a Lie,Q2
MT0003597979,1,Three Hundred Pounds of Joy,Q4
MT0003603497,1,Here Comes Santa Claus,Q4
MT0003603772,1,I Like,Q1
MT0003612742,0,Click Click Boom,Q2
MT0003617309,1,Trouble Again,Q1
MT0003629164,1,One Step Over the Line,Q4
MT0003630870,0,Talkin' Loud Ain't Sayin' Nothin',Q2
MT0003649209,0,Rock N' Roll High School,Q1
MT0003655884,1,The Way You Look Tonight,Q4
MT0003659365,1,Amity,Q2
MT0003663435,1,I've Got a Rock 'N' Roll Heart,Q1
MT0003669917,1,Come Together,Q1
MT0003728288,0,Odious & Devious,Q2
MT0003729518,0,The Day and the Time,Q1
MT0003732702,1,If You Can Dream,Q4
MT0003740052,1,Kingdom Come,Q4
MT0003748227,1,A. 11,Q3
MT0003759483,1,Bridge,Q4
MT0003762220,1,"Baby, I'm for Real",Q4
MT0003762339,0,Fading Dimensions,Q2
MT0003768949,1,Your Sweetness Is My Weakness,Q1
MT0003770678,1,Running Blind,Q4
MT0003774577,0,Duck & Run,Q2
MT0003782002,0,Mortuary Love Affair,Q2
MT0003788939,1,It's Gotta Be You,Q1
MT0003791678,1,Mr. Blue Sky,Q1
MT0003792475,0,Rifles,Q3
MT0003795778,1,Let's Stick Together,Q1
MT0003796752,1,Knocks Me off My Feet,Q1
MT0003821577,0,Paradise Beyond,Q2
MT0003837569,0,Separation,Q2
MT0003859252,0,Spit to See the Shine,Q2
MT0003861331,1,Somethin' 4 da Honeyz,Q4
MT0003863509,1,It Won't Be Long (And I'll Be Hating You),Q3
MT0003868349,1,Wherever You May Be,Q4
MT0003868390,1,Lay My Burden Down,Q4
MT0003869539,0,Stand!,Q1
MT0003878494,0,Baltimore Fire,Q3
MT0003880691,0,Night of the Femaliens,Q2
MT0003881997,0,Somebody Told Me,Q2
MT0003898980,1,There's No Place Like Home for the Holidays,Q4
MT0003903675,1,Dead Ringer for Love,Q1
MT0003906833,0,Rocky Mountain Breakdown,Q1
MT0003907045,0,Various Stages,Q3
MT0003909053,1,Heartaches for a Dime,Q3
MT0003909575,1,I'm a Man You Don't Meet Every Day,Q4
MT0003922883,1,This Girl's In Love with You,Q4
MT0003934644,1,Everlasting Love,Q1
MT0003935299,1,We'll Be Together Again,Q4
MT0003965796,1,Rhythm Is Gonna Get You,Q1
MT0003968586,0,Postfuturistika,Q2
MT0003970870,1,All of Me,Q3
MT0003974181,1,Who Wants Love?,Q3
MT0003979876,0,Suffer the Little Children to Come Unto Me,Q2
MT0004001989,1,Build Me Up,Q1
MT0004012938,0,Nightmare in Ashes and Blood,Q2
MT0004020993,1,You Can't Hurry Love,Q1
MT0004025604,1,Mine for the Taking,Q2
MT0004028719,0,White Lines (Don't Don't Do It),Q2
MT0004033010,1,Keep on Lovin' You,Q1
MT0004068560,0,Firestorms,Q2
MT0004072079,0,How Can We Live Like This,Q2
MT0004073991,0,Set It Off,Q2
MT0004085907,0,Vice,Q2
MT0004087145,0,Quarantine,Q2
MT0004091857,1,ABC,Q1
MT0004098601,0,Isaac & Abraham,Q4
MT0004113262,0,Timor,Q1
MT0004117319,1,I Never Thought I'd See the Day,Q3
MT0004131260,0,Odds & Frauds,Q3
MT0004137658,0,Dr. Piranha,Q2
MT0004141823,1,Conga,Q1
MT0004156130,1,Memories of a Colour,Q4
MT0004180568,1,The Air That I Breathe,Q4
MT0004184616,1,I Gotta Right to Sing the Blues,Q3
MT0004194402,1,Wee Wee Baby,Q3
MT0004197514,0,Panic!!!!!,Q2
MT0004212108,1,Rags to Riches,Q3
MT0004219321,1,I Will Miss You When You Go,Q4
MT0004232099,0,Suppertime,Q3
MT0004240748,0,Tear Down the Walls,Q2
MT0004254228,0,Moto Psycho,Q2
MT0004256890,1,Let's Wait Awhile,Q4
MT0004262978,1,Over the Rainbow,Q4
MT0004263301,1,If It Weren't For Him,Q3
MT0004287283,1,Slow Walking Mama,Q3
MT0004290389,0,The Lady of Shalott,Q3
MT0004293364,0,Gilla House Check,Q2
MT0004306521,1,Love a Little Stronger,Q4
MT0004317784,0,Weightless Again,Q3
MT0004337195,1,Be-Bop-A-Lula '69,Q1
MT0004338270,1,Good Time Feeling,Q1
MT0004352104,1,"Danger, Heartbreak Dead Ahead",Q3
MT0004352726,1,Pick Up the Oars and Row,Q4
MT0004362501,1,Ten Commandments of Love,Q4
MT0004395306,1,Skylark,Q4
MT0004397754,0,Pressure,Q3
MT0004400843,1,Want,Q3
MT0004414074,0,Emancipation,Q2
MT0004422924,1,If Anyone Falls,Q1
MT0004425744,1,"Signed, Sealed, Delivered (I'm Yours)",Q1
MT0004440606,0,Paradigm,Q3
MT0004444570,1,U Got the Look,Q1
MT0004447086,0,Such a Sick Boy,Q2
MT0004459450,0,War on the Pentagon,Q2
MT0004469135,1,Satisfaction Guaranteed (Or Take Your Love Back),Q1
MT0004476235,1,Death of Samantha,Q3
MT0004485367,1,Create Me,Q3
MT0004489039,0,North Country Blues,Q3
MT0004497478,0,Dreaming in Red,Q2
MT0004500770,1,My Heart Cries for You,Q3
MT0004506984,1,Night Fever,Q1
MT0004511265,0,This Trust Will Kill Again,Q2
MT0004512063,0,Eviscerated,Q2
MT0004514306,1,Rails,Q3
MT0004525980,1,You Take It All,Q4
MT0004540242,1,Cruisin',Q4
MT0004542745,1,Trolley Song,Q4
MT0004548391,0,Godd Complexx,Q3
MT0004550434,0,Don't Have the Cow,Q2
MT0004550458,1,"Whoopie-Ti-Yi-Yo, Get Along Little Dogies",Q4
MT0004551480,1,Sputnik,Q1
MT0004558203,0,The New Black,Q2
MT0004558461,1,Artificial Girl,Q2
MT0004588191,1,I'm Talking About You,Q1
MT0004609722,1,There'll Come a Time,Q3
MT0004625127,0,Paint Out the Light,Q3
MT0004645468,0,09-May,Q2
MT0004674397,0,Who Is tha Man,Q2
MT0004683099,1,We Are Family,Q1
MT0004692317,1,More Than a Woman,Q1
MT0004692456,1,Deeper and Deeper,Q1
MT0004711079,0,Ma�ana (Is Soon Enough for Me),Q1
MT0004725201,1,I Didn't Know What Time It Was,Q4
MT0004725405,1,Witch Doktor,Q1
MT0004739956,0,Dirge Inferno,Q2
MT0004754115,1,Don't Let Me Lose This Dream,Q4
MT0004758223,1,Put Your Dreams Away,Q4
MT0004759588,0,Impure Perfection,Q2
MT0004772896,1,These Broken Hearts,Q3
MT0004776609,1,Chances Are,Q4
MT0004781165,1,You Never Miss Your Water,Q3
MT0004798504,0,Dead Stop,Q2
MT0004798790,0,Waitin' for Warfare,Q3
MT0004811602,0,Wargods,Q2
MT0004816612,1,That Old Black Magic,Q1
MT0004829377,1,Baby a Go-Go,Q3
MT0004836526,0,Mosh,Q2
MT0004840819,1,I Cheated Me Right of You,Q3
MT0004842694,0,"Brother, Can You Spare a Dime?",Q3
MT0004844832,0,Dread and the Fugitive Mind,Q2
MT0004850406,0,Cowboys Like Us,Q4
MT0004861138,0,U Not Like Me,Q2
MT0004864453,0,"Breathe in, Breathe Out, Move On",Q4
MT0004866559,0,Shoot on Sight (S.O.S.),Q2
MT0004867185,0,Badda Dan Dem,Q2
MT0004869271,0,This Place,Q3
MT0004872217,0,Make My Day,Q2
MT0004882280,0,Wasteland,Q2
MT0004883551,0,Star,Q1
MT0004890000,1,Be My Baby,Q1
MT0004896738,1,Whoops Now,Q1
MT0004910983,1,Melancholy Man,Q3
MT0004925844,1,Have Yourself a Merry Little Christmas,Q4
MT0004936799,1,Five Long Years,Q3
MT0004943985,1,Do You Remember?,Q1
MT0004948855,0,Lockdown,Q2
MT0004961409,0,When a Good Friend Attacks,Q2
MT0004962647,0,In the Bleak Mid Winter,Q4
MT0004963809,1,English Rose,Q4
MT0004970058,1,Rider in the Rain,Q4
MT0005001966,1,Don't Fade Away,Q3
MT0005023904,1,The Garden,Q3
MT0005026798,0,"Loot, Shoot, Electrocute",Q2
MT0005029328,0,History's Stranglers,Q2
MT0005030845,1,Warning Label,Q3
MT0005033429,0,Animal Farm,Q1
MT0005039941,0,No One Can Do It Better,Q2
MT0005072543,0,I've Got a Pocketful of Dreams,Q1
MT0005083885,1,My Elusive Dreams,Q3
MT0005094727,1,You're Gonna Miss Me,Q3
MT0005111463,1,See If I Care,Q3
MT0005113916,0,Life Is So Peculiar,Q4
MT0005115042,1,I Was So Wrong,Q3
MT0005118426,1,Little Girl,Q4
MT0005134466,1,All Day Long,Q3
MT0005155949,1,How I Wish (Ask Me Now),Q3
MT0005157804,0,He's Got His Eye on You,Q4
MT0005158273,1,Baby Don't Do It,Q4
MT0005171537,0,Fanatics,Q2
MT0005189351,1,Be Mine,Q3
MT0005189820,1,These Days,Q3
MT0005198745,1,Ferret & Featherbird,Q4
MT0005202791,0,Scrape the Surface,Q2
MT0005223794,0,The World Needs a Hero,Q2
MT0005241287,1,Promises,Q2
MT0005241699,1,Love Rollercoaster,Q1
MT0005243931,0,Anti Christ,Q2
MT0005253065,1,It's an Uphill Climb (To the Bottom),Q3
MT0005262725,1,The Briar and the Rose,Q3
MT0005265641,1,Dude,Q1
MT0005272837,1,You're Gonna Quit Me,Q4
MT0005285696,1,Sleep Tight,Q4
MT0005286165,0,My Disaster,Q2
MT0005287506,0,Rentboy,Q2
MT0005294278,1,Love Me or Leave Me (Breakdown),Q3
MT0005304966,0,I'm a Rebel,Q2
MT0005319891,0,Soon to Be Dead,Q2
MT0005330350,1,There's No Hiding Place Down Here,Q3
MT0005331755,1,It's Gonna Be Me,Q1
MT0005344437,1,Send One Your Love,Q4
MT0005379911,1,Spirit,Q3
MT0005387539,0,Overripe,Q2
MT0005404111,1,Memphis in the Meantime,Q1
MT0005404247,1,Strange,Q3
MT0005409948,0,Certified Samurai,Q2
MT0005411969,0,Cannibal Cafe,Q2
MT0005417719,0,Rite Now,Q2
MT0005422349,1,Come Fly With Me,Q4
MT0005425879,1,Thanks for the Memory,Q4
MT0005426130,1,Cream,Q1
MT0005431678,0,Dedicated,Q2
MT0005443513,1,Christmas Dreaming (A Little Early This Year),Q4
MT0005451862,0,Bail Out,Q2
MT0005469880,1,The Girls from Texas,Q1
MT0005478759,1,Bailamos,Q1
MT0005486154,0,Bad Dreams,Q3
MT0005497233,0,Kill 'Em All,Q2
MT0005515169,0,Feel It,Q2
MT0005519111,1,Dear Father,Q4
MT0005523766,1,Willie and the Hand Jive,Q1
MT0005540023,0,The Beast,Q2
MT0005540907,1,Look at Little Sister,Q1
MT0005550288,0,In Vain,Q2
MT0005556630,1,When You Awake,Q4
MT0005567133,0,Blood and Thunder,Q2
MT0005568749,1,Angela,Q3
MT0005575348,0,Story of My Life,Q3
MT0005592810,1,Come Go with Me,Q1
MT0005593407,1,Done Got Old,Q3
MT0005621435,1,What More Can a Woman Do,Q3
MT0005625323,1,Your Sister Can't Twist (But She Can Rock 'n Roll),Q1
MT0005625762,0,Intro,Q1
MT0005630273,0,Guide Vocal,Q3
MT0005638160,0,Walk with Me in Hell,Q2
MT0005642770,0,...to Carry On,Q2
MT0005652563,0,Victums of the Womanizer,Q2
MT0005655655,1,Worried Life Blues,Q3
MT0005656534,1,The Christmas Song,Q4
MT0005660001,1,Good Luck,Q1
MT0005666606,1,Come on Over (All I Want Is You),Q1
MT0005673020,0,Justin,Q2
MT0005675358,1,Backwards Over Germany,Q2
MT0005695311,1,Perfect Moment,Q4
MT0005707044,1,Reminiscing,Q4
MT0005713768,1,Let Me Love You,Q1
MT0005715379,1,Never Mind,Q4
MT0005715715,1,On a Night Like This,Q1
MT0005723257,1,"Tears, Tears, Tears (Tears in My Eyes)",Q3
MT0005725657,1,Last Caress/Green Hell,Q2
MT0005727783,1,Glad to Be Unhappy,Q3
MT0005740567,1,You've Lost That Lovin' Feelin',Q3
MT0005751512,0,With Blood Comes Cleansing,Q2
MT0005752234,0,The Truth About Men,Q1
MT0005756784,0,The I.N.C. Is Back,Q2
MT0005760259,0,"Young, Gifted and Skint",Q2
MT0005761702,1,Loan Me a Dime,Q3
MT0005763004,1,Woozy,Q1
MT0005774267,1,Room 13,Q2
MT0005775235,0,Santa Claus Is Coming to Town,Q4
MT0005802574,1,Footloose,Q1
MT0005804191,1,Daddy's Home,Q4
MT0005822463,1,Blue Ink,Q3
MT0005822671,0,Left to Starve,Q2
MT0005826176,0,Voodoo People,Q2
MT0005827376,1,I Want You,Q4
MT0005830128,1,Kiss Me,Q4
MT0005850999,0,Why Should I,Q4
MT0005863380,1,Theme,Q4
MT0005884980,1,O Holy Night,Q4
MT0005912220,1,You Cut Me to the Bone,Q3
MT0005916227,1,If I Give My Love to You?,Q3
MT0005944471,1,Say,Q1
MT0005951020,1,Mountain to Sound,Q2
MT0005959692,0,Apocalypse Politics,Q4
MT0005963165,1,Love in Itself 2,Q3
MT0005974256,0,Get Out the State,Q2
MT0006001707,0,Ambition,Q2
MT0006007936,0,Welcome to the Terrordome,Q2
MT0006022752,1,Goin' Down Slow,Q3
MT0006036535,1,Love Me or Leave Me,Q3
MT0006037085,1,Pretty Paper,Q4
MT0006039798,1,Can't Even Get the Blues No More,Q3
MT0006044445,1,The Unclouded Day,Q4
MT0006067841,0,Never Again,Q2
MT0006078896,0,Mastermind,Q2
MT0006114773,0,Can't Tame the Lion,Q1
MT0006115121,1,California Sunset,Q4
MT0006129774,1,The Moon Was Yellow and the Night Was Young,Q4
MT0006137300,1,How Far Am I from Canaan?,Q4
MT0006137372,0,Cowboy Star,Q3
MT0006157839,0,Not in Any Name,Q2
MT0006159067,1,On the Road Again,Q3
MT0006164654,0,"Reno, Nevada",Q4
MT0006169551,0,The Little Vagabond,Q4
MT0006171393,1,Walking and Falling,Q3
MT0006181559,1,Christmas Night in Harlem,Q4
MT0006188933,0,Bob Dylan's Blues,Q1
MT0006196650,1,A Town Called Paradise,Q1
MT0006232679,1,She Be the One,Q1
MT0006256204,0,FFF,Q2
MT0006324704,1,Fairy Tale,Q4
MT0006348382,1,All Good Things,Q4
MT0006356406,0,Sin,Q2
MT0006357085,1,Turn on the Night,Q1
MT0006357849,0,Slings and Arrows,Q1
MT0006365604,0,Armed Robbery,Q2
MT0006367176,1,I Will Survive,Q1
MT0006391732,0,King of the Stereo,Q2
MT0006397809,1,Oh Girl,Q3
MT0006400514,0,The Butcher,Q3
MT0006406298,1,Sally Sue Brown,Q1
MT0006409530,0,Use the Man,Q2
MT0006410285,1,No Sympathy,Q3
MT0006417602,1,What Happened,Q3
MT0006421356,1,Faking Love,Q3
MT0006431184,0,Talkin' New York,Q1
MT0006431807,0,Beer for My Horses,Q1
MT0006434833,0,Shut the Fuck Up,Q2
MT0006475078,1,You're the Right One,Q4
MT0006475970,1,Swingin',Q1
MT0006484633,0,A Time to Die,Q2
MT0006487635,0,Crimson Snow,Q2
MT0006492385,1,Foolin' Myself,Q3
MT0006497092,1,We Are Add N to X,Q2
MT0006510599,0,Dead Men Don't Rape,Q2
MT0006514225,1,The Rising,Q1
MT0006522591,1,My City of Ruins,Q3
MT0006528309,1,"Sweet Music, Soft Lights and You",Q1
MT0006531857,0,Of Mercury and Mercury,Q2
MT0006536592,1,Think I'm in Love,Q1
MT0006540794,1,Look at Little Sister,Q1
MT0006545202,0,Glitches Will Tell,Q2
MT0006552038,0,Keeping the Cadaver Dogs Busy,Q2
MT0006553309,0,Juliet,Q1
MT0006553914,0,Fit But You Know It,Q2
MT0006559667,0,Mindbreaker,Q2
MT0006573563,0,Phased,Q2
MT0006587635,0,Traces of the Past,Q2
MT0006587819,1,Before Sleep Comes,Q4
MT0006612877,0,Acid With Acid - Piece by Piece,Q2
MT0006633147,1,Moonlight Lady,Q1
MT0006635536,1,Shiny Things,Q3
MT0006640142,0,Wrath,Q2
MT0006641042,0,First Weapon of Choice,Q2
MT0006654122,0,Cardiff,Q3
MT0006683265,0,Secrets of Sumerian Sphynxology,Q2
MT0006683875,1,Mary's Place,Q1
MT0006695707,0,Beast and the Harlot,Q2
MT0006708402,0,Mr. Jones (Ballad of a Thin Man),Q3
MT0006713730,1,Widow's Grove,Q3
MT0006723128,0,Fuel the Hate,Q2
MT0006737689,0,Trashed and Scattered,Q2
MT0006742179,0,Misery Man,Q2
MT0006746691,0,Voices,Q2
MT0006747288,1,I'll Tell Me Ma,Q1
MT0006751087,0,Droppin' Plates,Q2
MT0006761058,1,Think About You,Q4
MT0006761971,0,Mac and Brad,Q2
MT0006770955,1,Fun,Q1
MT0006771406,1,Crazy in Love,Q1
MT0006773580,0,Adeste Infidelis,Q2
MT0006778622,0,Fit But You Know It,Q2
MT0006784451,0,At Last,Q2
MT0006788512,0,Angelskingarden,Q2
MT0006790347,0,Enslaved of Bitterness,Q2
MT0006795758,0,What's My Name?,Q2
MT0006798861,0,Five More to Fix,Q2
MT0006800841,1,Between Me and You,Q2
MT0006806145,0,I and I,Q2
MT0006810990,0,Care,Q2
MT0006813360,0,Is This Desire?,Q3
MT0006832360,0,The Calling,Q2
MT0006833696,1,When You Leave That Way You Can Never Go Back,Q3
MT0006839715,1,The Night Is Young,Q4
MT0006843007,1,Whatever You Need,Q1
MT0006846075,1,Caravan,Q4
MT0006876450,1,Heartbeat,Q3
MT0006877397,1,In Amber,Q3
MT0006879985,0,Ready to Die,Q2
MT0006880936,0,Tenant,Q3
MT0006919273,1,The Garden,Q3
MT0006929157,0,Success,Q2
MT0006933170,1,F.I.G.H.T.,Q2
MT0006937715,1,Be My Yoko Ono,Q1
MT0006939177,0,Phat ('N' All Dat),Q2
MT0006955716,1,Little Drummer Boy,Q4
MT0006983241,1,Rudolph the Red-Nosed Reindeer,Q4
MT0006991912,1,I've Got a Crush on You,Q4
MT0007013069,1,Pulling Rabbits Out of a Hat,Q1
MT0007037296,1,Everyone,Q1
MT0007039082,1,Five Candles (You Were There),Q4
MT0007043504,0,Bichasniguz,Q2
MT0007051057,1,The Moon Is Rising,Q3
MT0007051188,1,I'll Fly Away,Q4
MT0007053424,0,Hum-Allah-Hum-Allah-Hum Allah,Q4
MT0007057303,1,It's Like That [Main Version],Q1
MT0007058512,0,Revenge,Q2
MT0007064420,1,You Brought a New Kind of Love to Me,Q4
MT0007067293,1,Amateur Hour,Q1
MT0007071481,0,Bacdafucup,Q2
MT0007072992,1,I've Got the World on a String,Q4
MT0007074655,0,Call to Arms,Q2
MT0007075838,0,Sleep Now in the Fire,Q2
MT0007081433,1,"Run Softly, Blue River",Q4
MT0007087238,1,Christmas Time (Greensleeves),Q4
MT0007102148,1,I Know It's a Sin,Q3
MT0007102997,1,You'd Be So Nice to Come Home To,Q4
MT0007106784,1,A String to Your Heart,Q3
MT0007107079,0,"O Come, O Come, Emmanuel",Q4
MT0007109938,0,Bad Influence,Q2
MT0007113915,0,Low Tide of the Night,Q3
MT0007117290,1,Johnny B. Goode,Q1
MT0007127869,0,Voice of the Voiceless,Q2
MT0007132421,1,Rhythm Is Gonna Get You,Q1
MT0007136180,0,Spam,Q1
MT0007142175,0,I Did It for Alfie,Q4
MT0007147603,0,Messin' with the Kid,Q1
MT0007164275,0,American High,Q2
MT0007186714,1,Two of Us Together,Q4
MT0007190016,0,All You Ever Think About Is Sex,Q1
MT0007199330,0,Let It Rain,Q4
MT0007210245,0,Mic Check,Q2
MT0007267489,1,Fallin' in Love,Q4
MT0007269020,0,Sadist Ways,Q2
MT0007276457,1,Let's Go (Nothing for Me),Q3
MT0007280044,1,Never Coming Home,Q3
MT0007282148,1,Salvador,Q4
MT0007329488,1,Control (Video Mix),Q1
MT0007337206,1,Marmoset,Q2
MT0007340697,0,Boto (W) Rap,Q2
MT0007349422,0,Chrome & Paint,Q2
MT0007350911,1,I'm Hooked on You,Q1
MT0007353661,0,The Thread,Q4
MT0007356476,1,All the Things You Are,Q4
MT0007379700,0,You're Right,Q2
MT0007384768,1,Too Many,Q1
MT0007390015,1,Not Tonight,Q1
MT0007393408,0,Fun and Games,Q2
MT0007401605,0,As the Palaces Burn,Q2
MT0007410187,1,I Wish I Could Say the Same,Q3
MT0007412399,1,Sally,Q3
MT0007412921,1,Namast�,Q4
MT0007413949,0,Tribulation,Q2
MT0007419064,0,Do You Remember Rock & Roll Radio?,Q1
MT0007423667,0,In Summary of What I Am,Q2
MT0007433643,1,(Sittin' On) The Dock of the Bay,Q4
MT0007438571,0,Divorce Song,Q3
MT0007442223,0,Fall from Grace,Q2
MT0007453719,1,Squeeze Me,Q4
MT0007477802,1,Cover to Cover,Q3
MT0007493575,1,"Sing, Sing, Sing",Q1
MT0007508173,1,Forca,Q1
MT0007522436,0,"Click, Clack - Get Back!",Q2
MT0007525777,1,Feelin' Sad,Q3
MT0007556029,1,"Hallelujah, I Love Her So",Q4
MT0007602902,0,August,Q2
MT0007607008,1,Gettin' Some,Q1
MT0007627521,0,Beneath the Crimson Vaults of Cydonia,Q2
MT0007644103,1,I Can't Stop,Q1
MT0007645808,0,Hood,Q2
MT0007659703,0,Beat the Bastards,Q2
MT0007663424,0,Serial Killer,Q2
MT0007696006,0,Prey,Q2
MT0007728545,1,"Ring, Telephone, Ring",Q3
MT0007730975,1,Don't Be Light,Q3
MT0007757097,1,Your Love Don't Take a Backseat to Nothing,Q1
MT0007766156,1,Moody's Mood for Love,Q4
MT0007780282,0,State of the World Address,Q2
MT0007780572,0,The Day of Justice,Q2
MT0007795217,0,I Want You,Q1
MT0007797719,1,That's When Your Heartaches Begin,Q3
MT0007805279,0,Ghetto Vet,Q2
MT0007806202,1,Transparent,Q2
MT0007818252,0,Better Living Through Catastrophe,Q2
MT0007825188,1,Reflection,Q2
MT0007828167,1,Heart of Worship,Q4
MT0007832902,1,Lost,Q2
MT0007859380,1,Drive My Car,Q1
MT0007860263,1,My Last Affair,Q3
MT0007866540,0,"After Dollars, No Cents",Q2
MT0007868583,1,I'm Alright,Q1
MT0007886392,1,Simple Pleasures,Q1
MT0007906518,0,"You Punch Me, I Punch You",Q2
MT0007912800,1,I Need Love,Q4
MT0007924549,0,Shortfall,Q2
MT0007926918,1,Luxlo Flaming Deluxlo,Q2
MT0007934529,0,Worldly Whys,Q2
MT0007939281,0,Incline,Q2
MT0007959122,1,Beyond a Doubt,Q2
MT0007961100,0,Time Folding Machine,Q2
MT0007983016,1,Hickory Wind,Q4
MT0007991638,0,Corpse Is Corpse,Q2
MT0007999856,1,Fun and Games,Q2
MT0008022729,0,World Destruction,Q2
MT0008029439,0,I Love This Bar,Q1
MT0008045785,0,Breakdown,Q2
MT0008046899,1,Whiskey Girl,Q1
MT0008077878,1,Cut It Dude,Q2
MT0008084656,0,Pennywise,Q2
MT0008105399,0,If I Was Jesus,Q1
MT0008113039,1,"Don't Leave, I Think I Love You",Q1
MT0008120072,1,I Told You Baby,Q3
MT0008130158,0,I Am a Revenant,Q2
MT0008131425,1,Danke Schoen,Q1
MT0008138963,1,A Cheat,Q3
MT0008147388,0,War Zone,Q2
MT0008149831,0,Here Comes the Pain,Q2
MT0008154135,0,I Think It's Going to Rain Today,Q4
MT0008166431,1,Don't Stop,Q1
MT0008184180,0,Threshold,Q2
MT0008211502,1,Laser Love,Q1
MT0008236217,1,It's a Beautiful Day (Reprise),Q1
MT0008236389,1,It's All Over But the Shoutin',Q2
MT0008237717,1,It Takes a Good Woman,Q1
MT0008241153,1,You're Gonna Need My Help,Q3
MT0008276763,1,Black Coffee,Q1
MT0008279825,1,Help Me Understand,Q3
MT0008296972,1,Blue You,Q3
MT0008307409,1,Picture Perfect Morning,Q4
MT0008307905,0,You Take Part in Creating the System [Bonus Track],Q2
MT0008308461,1,Don't Tell Me,Q1
MT0008313843,1,Black and Blue,Q1
MT0008327012,1,I'll Change My Style,Q3
MT0008345160,1,Da' Dip,Q1
MT0008347586,0,Famlay Freestyle,Q2
MT0008350331,0,Down Payment Blues,Q2
MT0008352590,1,F*** You,Q2
MT0008361425,1,GM2 1,Q2
MT0008363189,1,Magic Road,Q1
MT0008363839,1,Try Jesus,Q1
MT0008368311,1,Last Night I Lost the Best Friend I Ever Had,Q3
MT0008371251,1,Divine,Q1
MT0008385501,0,Vortex,Q2
MT0008386252,0,Fight or Die,Q2
MT0008394478,1,Easy Money,Q1
MT0008401073,1,Texas Cookin',Q1
MT0008408635,0,Just as I Am,Q4
MT0008421113,0,Filthy Little Secret,Q2
MT0008421900,1,Over the Next Hill (We'll Be Home),Q4
MT0008425062,0,Transmission,Q2
MT0008425616,0,Breed Apart,Q2
MT0008428932,1,Only Our Rivers Run Free,Q3
MT0008431795,1,Roni,Q1
MT0008493270,0,O Superman (For Massenet),Q3
MT0008497871,0,Crossfire,Q2
MT0008499614,0,Heaven Knows No Pain,Q2
MT0008511909,0,The Day After,Q2
MT0008515901,1,Baby Please Don't Go,Q3
MT0008530072,0,Withered and Torn,Q2
MT0008530652,1,Starlite Diner,Q4
MT0008537015,1,The Song Is Over,Q1
MT0008548050,1,You Make Me So Very Happy,Q4
MT0008554680,0,Welcome Home,Q2
MT0008565530,0,Problems,Q2
MT0008570712,0,Heart of a Champion,Q2
MT0008573252,0,Desperate,Q2
MT0008578405,0,Holy Wars... The Punnishment Due,Q2
MT0008596505,1,I Saw Mommy Kissing Santa Claus,Q4
MT0008596537,1,Deathplay,Q2
MT0008602863,0,Tess Shit,Q2
MT0008604277,0,Some People,Q3
MT0008632122,1,Impressive Instant,Q1
MT0008635124,0,The Testament of Stench,Q2
MT0008636271,1,Hurt Me,Q3
MT0008641724,0,Geto Boys Will Rock You,Q2
MT0008649724,0,Endless Cemetary,Q2
MT0008652185,0,Chapel Perilous,Q2
MT0008672387,1,Larger Than Life,Q1
MT0008673460,1,Feels Like the First Time,Q1
MT0008684978,1,Keep It Comin' Love,Q1
MT0008690776,1,Not Dark Yet,Q3
MT0008709705,1,Worried Life Blues,Q3
MT0008734186,0,Darkness of Christ,Q2
MT0008734289,0,Siberian Divide,Q2
MT0008740787,0,He Turned the Water into Wine,Q4
MT0008750426,1,The Man With the Horn,Q4
MT0008776764,0,Labeled,Q2
MT0008790106,1,California Saga (On My Way to Sunny Califon-I-A),Q4
MT0008790360,0,Contaminated,Q2
MT0008791082,0,And So Is Life,Q2
MT0008794071,0,First Noel,Q4
MT0008800327,0,Vanity,Q2
MT0008806305,0,Decadent Messiah,Q2
MT0008813307,1,"Oh, Sister",Q3
MT0008813309,1,I Turned You On,Q1
MT0008819987,1,Poor Wayfaring Stranger,Q4
MT0008863436,0,Crystal Skull,Q2
MT0008869963,1,Moonlight in Vermont,Q4
MT0008882630,0,4st 7lb,Q2
MT0008883788,1,Blue,Q3
MT0008891523,1,Too Much Heaven,Q1
MT0008899266,1,It's Funny to Everyone,Q3
MT0008905908,1,It Tears Me Up,Q3
MT0008953247,0,My Hometown,Q3
MT0008960612,0,Tryin' Times,Q3
MT0008963540,1,Upstairs Downtown,Q3
MT0008966305,1,Sexy 17,Q1
MT0008969183,1,Sub-Culture,Q3
MT0008972801,0,Animal City,Q1
MT0008999728,0,Rush of Deliverance,Q2
MT0008999898,1,"Death Letter Blues, Pt. 2",Q3
MT0009005900,0,I Made the Prison Band,Q1
