Song,Quadrant,Title,Genres
MT0000685538,Q3,Let the Jukebox Keep on Playing,Country
MT0000685552,Q3,I Never Loved Her,Pop/Rock
MT0000688115,Q3,I Never Meant to Hurt You,"Pop/Rock, Vocal"
MT0000688312,Q3,Skin Deep,Pop/Rock
MT0000689110,Q2,Citadel,Pop/Rock
MT0000690637,Q1,Summer in the City,"Electronic, Jazz"
MT0000694316,Q2,Cleansing,"Electronic, Pop/Rock"
MT0000704913,Q1,Im Happy Just to Dance With You,Pop/Rock
MT0000707663,Q4,Girl From Ipanema,"International, Jazz, Pop/Rock"
MT0000712071,Q1,Wear My Ring Around Your Neck,Pop/Rock
MT0000714708,Q1,Music,"Club/Dance,Pop/Rock,Dance-Pop"
MT0000720686,Q3,A World Without Heroes,Pop/Rock
MT0000721873,Q1,Emotions,"Electronic, Pop/Rock, R&B"
MT0000723464,Q4,The Invasion,Reggae
MT0000724357,Q2,Worldwide Gangsta,Rap
MT0000727738,Q3,Little Amsterdam,Pop/Rock
MT0000728975,Q3,You Always Hurt the One You Love,Vocal
MT0000734482,Q4,Desired Constellation,Electronic
MT0000735056,Q2,Thrash Synergy,"International, Pop/Rock"
MT0000737118,Q1,Can't Get Enough of Your Love,R&B
MT0000740862,Q4,Best Friends,"R&B, Rap"
MT0000741489,Q2,Nocturnal Fear,Pop/Rock
MT0000744293,Q2,Out of Mind,Pop/Rock
MT0000747666,Q3,One More Chance,"Pop/Rock, R&B"
MT0000753074,Q4,"Swing Low, Sweet Chariot","Vocal Pop,Traditional Pop,Vocal Jazz,Religious,Jazz,Vocal,Gospel,Spirituals"
MT0000754511,Q4,I'm Not Worried at All,Electronic
MT0000762097,Q4,God Rest Ye Merry Gentleman,"Holiday, Vocal"
MT0000763275,Q3,Ideal Home,Pop/Rock
MT0000764951,Q3,Where Is the Sun?,"Blues, Jazz, Vocal"
MT0000766316,Q1,Woman Love,Pop/Rock
MT0000775053,Q4,Chords of Fame,Pop/Rock
MT0000776108,Q3,How Many Times,Pop/Rock
MT0000778102,Q2,For the Thugs,Rap
MT0000780401,Q3,Does It Show,"Country, Pop/Rock"
MT0000783307,Q2,<c6>nema,Pop/Rock
MT0000787002,Q3,Downbound Train,"Heartland Rock,Album Rock,Contemporary Pop/Rock,Rock & Roll,Pop/Rock"
MT0000789330,Q2,Megalodon,Pop/Rock
MT0000807741,Q1,Swing That Music,"Jazz, Vocal"
MT0000808227,Q2,The Sudden Realization...,"International, Pop/Rock"
MT0000811092,Q4,East of the Sun (And West of the Moon),"Jazz, Vocal"
MT0000811743,Q3,My Last Chance With You,Country
MT0000814289,Q3,Trav'lin' All Alone,"Blues, Jazz, Vocal"
MT0000814565,Q3,Ballast,Pop/Rock
MT0000825920,Q4,Christmas Song (Chestnuts Roasting on an Open Fire),"Holiday, Jazz, Vocal"
MT0000829531,Q2,Steady Mobbin',Rap
MT0000829765,Q3,When a Love Song Sings the Blues,"Country, Pop/Rock"
MT0000832464,Q3,Heartbreak Hotel,"Pop/Rock, R&B"
MT0000844574,Q4,My Best Friend,"Country, Pop/Rock"
MT0000847731,Q3,Round About Way,Country
MT0000848769,Q4,Can't Help Lovin' Dat Man,"Blues, Jazz, Vocal"
MT0000850050,Q3,"Baby, Now That I've Found You",Country
MT0000850957,Q2,6 O'Clock News,Pop/Rock
MT0000851865,Q1,I'm an Old Cowhand (From the Rio Grande),"Jazz, Vocal"
MT0000852582,Q2,Apotemnophiliac,"International, Pop/Rock"
MT0000853072,Q3,More Than Rain,Pop/Rock
MT0000854722,Q1,Mr. Man,"Pop/Rock, R&B"
MT0000863232,Q4,Adam and Eve,Reggae
MT0000863543,Q1,"Love Me, Love Me Now","Electronic, R&B"
MT0000871290,Q1,The Mystery,"Pop/Rock, R&B"
MT0000874328,Q1,Everybody Loves the Sunshine,"Electronic, Jazz"
MT0000874482,Q2,Redneck,"Electronic, Pop/Rock"
MT0000875199,Q3,Sad Professor,Pop/Rock
MT0000875520,Q1,Dancing Days,"Hard Rock,Heavy Metal,British Metal,Album Rock,Pop/Rock"
MT0000878275,Q4,Comin' Home,"Alternative/Indie Rock,Pop/Rock,Indie Rock"
MT0000886390,Q1,Randy,Country
MT0000888329,Q4,Dreamland,Reggae
MT0000889229,Q3,Everybodys Crying Mercy,"Blues, Easy Listening, Jazz, Pop/Rock"
MT0000892306,Q2,Above the Pyramid and the Eye,"Electronic, International, Pop/Rock"
MT0000895003,Q2,For What It's Worth,"Electronic, International, Pop/Rock"
MT0000895905,Q4,Rocky Mountain Suite,Pop/Rock
MT0000900387,Q2,Let's Ride,Rap
MT0000900995,Q4,You Go to My Head,Jazz
MT0000901959,Q4,Pops Rap III...All My Children,Rap
MT0000903225,Q4,Hello Old Friend,Pop/Rock
MT0000906888,Q4,The Way I Am,Country
MT0000910270,Q2,New Leaf,Pop/Rock
MT0000920227,Q4,We Shall Be Free,"Country, Religious"
MT0000921193,Q3,Too Much,"Blues, R&B"
MT0000927561,Q2,Take Up Thy Stethoscope and Walk,"Art Rock,Psychedelic/Garage,Prog-Rock,Pop/Rock,British Psychedelia"
MT0000931402,Q3,Lonely Street,"Country, Pop/Rock"
MT0000934613,Q2,Knives Bats New Tats,Pop/Rock
MT0000938758,Q4,A Love So Beautiful,"Electronic, Pop/Rock"
MT0000948111,Q1,Hot Dog,Pop/Rock
MT0000950090,Q3,The Saddest Song I've Got,Pop/Rock
MT0000951610,Q2,Dust 2,Pop/Rock
MT0000954088,Q1,"South America, Take It Away!",Vocal
MT0000956340,Q2,Break Yourself,Rap
MT0000968326,Q1,Make It Big,
MT0000971800,Q1,Oh Holy Night,
MT0000983092,Q3,Storm in a Teacup,"Electronic, Pop/Rock"
MT0000984023,Q2,Disciples of Hell,"Electronic, Pop/Rock"
MT0000992846,Q1,Shoe Box,Pop/Rock
MT0001014012,Q4,Golden Heart,"Electronic, Pop/Rock"
MT0001016068,Q3,"Oh, Red!!",Blues
MT0001020011,Q4,What Child Is This?,"Classical, Religious"
MT0001030436,Q3,When in Love With a Blind Man,
MT0001032211,Q4,Frenz,"Electronic, Pop/Rock"
MT0001038803,Q4,You're All I Need to Get By,R&B
MT0001042055,Q4,All I Want for Christmas Is a Real Good Tan,"Country, Holiday"
MT0001043721,Q2,Wu-Tang Clan Ain't Nuthing Ta F' Wit,Rap
MT0001046395,Q1,Maybe,"Electronic, Pop/Rock, R&B"
MT0001053268,Q1,Gentle on My Mind,"Electronic, R&B"
MT0001058887,Q4,My Girl,"Pop/Rock, R&B"
MT0001062700,Q3,I Go to Pieces,Pop/Rock
MT0001073553,Q1,Happy Xmas (War Is Over),"Holiday, Pop/Rock"
MT0001095298,Q3,Laura (What's He Got That I Ain't Got),Country
MT0001096019,Q1,Our Love Is Here to Stay,Jazz
MT0001101467,Q2,Get Back,"Electronic, Rap"
MT0001102610,Q3,You'll Think of Me,Country
MT0001104467,Q3,Blue Moon With Heartache,"Contemporary Country,Country,Neo-Traditionalist Country"
MT0001106114,Q4,I Love Jazz,Jazz
MT0001109401,Q4,Moog Island,Electronic
MT0001115644,Q3,Gone Out of My Mind,Country
MT0001116511,Q2,Target,Pop/Rock
MT0001117815,Q1,Lucky Man,Pop/Rock
MT0001121577,Q4,Who Am I,"New Age, Religious"
MT0001126926,Q4,Voglio Restare Cosi,
MT0001134958,Q3,I'm So Lonesome,Country
MT0001137053,Q3,Lullaby,Classical
MT0001141875,Q3,Highway Highway,"Electronic, Pop/Rock"
MT0001144930,Q4,Believe in Life,Pop/Rock
MT0001152165,Q4,Love Calls,R&B
MT0001152664,Q3,How to Disappear Completely,Pop/Rock
MT0001153847,Q1,A Little Less Conversation,"Pop/Rock,Club/Dance,Contemporary Pop/Rock"
MT0001157069,Q3,The Fall of Troy,
MT0001168323,Q4,All I Want for Christmas Is You,"Holiday, R&B"
MT0001169715,Q1,Red Blue Jeans and a Pony Tail,Pop/Rock
MT0001183783,Q4,Having Myself a Time,"Blues, Jazz, Vocal"
MT0001189913,Q1,"(I Got Spurs That) Jingle, Jangle, Jingle","Easy Listening, Jazz, Vocal"
MT0001193202,Q2,Elysian Fields,Pop/Rock
MT0001193331,Q1,High Rolling Man,Pop/Rock
MT0001193971,Q3,No Vacation from the Blues,Country
MT0001194164,Q3,What Good Am I?,Pop/Rock
MT0001195535,Q4,I've Loved You All Over the World,"Country, International, Pop/Rock"
MT0001196736,Q3,You,"Electronic, R&B"
MT0001202986,Q1,One-Sided Love Affair,"Country, Pop/Rock"
MT0001217651,Q1,Choppa Style,Rap
MT0001227219,Q4,How Long Blues,Jazz
MT0001230193,Q2,Trap,Pop/Rock
MT0001230298,Q3,The One You Slip Around With,Country
MT0001236335,Q3,"Gosh, I Miss You All the Time",Country
MT0001236337,Q3,Truth Hurts,Pop/Rock
MT0001243097,Q4,Angels Among Us,"Country,Country-Pop"
MT0001256033,Q3,One Four Seven One,Pop/Rock
MT0001265984,Q3,American Triangle,Pop/Rock
MT0001266436,Q3,Restraining Order Blues,Pop/Rock
MT0001267997,Q4,When I Grow Too Old to Dream,"Blues, Jazz"
MT0001276044,Q2,When the Thousand,"Electronic, International, Pop/Rock"
MT0001277283,Q3,Brother,Pop/Rock
MT0001284282,Q1,Like a Virgin [Extended Dance Remix],"Electronic, Pop/Rock"
MT0001284801,Q3,Jim,"Blues, Jazz, Vocal"
MT0001287647,Q2,Ice Water,Pop/Rock
MT0001292451,Q1,Dig You Later,Vocal
MT0001297031,Q3,Station Approach,Pop/Rock
MT0001298241,Q3,Modern Dance,Pop/Rock
MT0001301827,Q4,Love Letters,"Blues, Jazz, R&B"
MT0001305550,Q3,Until,"Pop/Rock, R&B"
MT0001309422,Q3,I'm With a Crowd But So Alone,Country
MT0001313815,Q4,Waiting in Vain,Reggae
MT0001318718,Q1,Ready or Not,Pop/Rock
MT0001321444,Q3,Love's a Hard Game to Play,Pop/Rock
MT0001321861,Q2,I Luv It,Rap
MT0001323755,Q4,His Hands,"Country, Religious"
MT0001331047,Q3,How Am I to Know?,"Blues, Jazz, Vocal"
MT0001332899,Q3,Will I See You in Heaven,"Country, Pop/Rock"
MT0001335920,Q1,Long Time Gone,"Country, Electronic, Pop/Rock"
MT0001347462,Q4,Try to Remember,Folk
MT0001353828,Q2,Me Against the World,Rap
MT0001356476,Q1,Pink Cadillac,Pop/Rock
MT0001356637,Q3,Superstar,Pop/Rock
MT0001361436,Q2,The Killing Road,Pop/Rock
MT0001362313,Q3,Ever Lovin' Fingers,"Country, Pop/Rock"
MT0001368531,Q4,Cheapest Kind,"Country, Folk"
MT0001369981,Q3,"Lover Man (Oh, Where Can You Be)","Jazz, Vocal"
MT0001370627,Q4,False True Love,"Folk, International"
MT0001372070,Q3,When Two Worlds Collide,"Nashville Sound/Countrypolitan,Country"
MT0001376988,Q2,Lights Over Baghdad,Pop/Rock
MT0001377616,Q4,Sleep Alone,Electronic
MT0001377742,Q2,Fear the Grand Inquisitor,"International, Pop/Rock"
MT0001380360,Q2,Solitary Winter Night,Pop/Rock
MT0001383277,Q2,Ski Mask Way,Rap
MT0001385947,Q3,"Look Heart, No Hands",Country
MT0001387574,Q4,I Don't Want to Do Wrong,R&B
MT0001393272,Q3,Better Days,Pop/Rock
MT0001395462,Q3,American Tune,Country
MT0001397431,Q2,Settle for Nothing,Pop/Rock
MT0001404677,Q3,Stormy Monday Blues,"Jazz, Vocal"
MT0001435061,Q3,It's My Own Fault,"Blues, Pop/Rock"
MT0001436086,Q4,I'll Never Smile Again,Vocal
MT0001453285,Q3,I Won't Cry Anymore,"Easy Listening, Jazz, Pop/Rock"
MT0001473110,Q2,Gettin' High,Rap
MT0001473158,Q2,Ride,Rap
MT0001477169,Q4,It Won't Be Long (Till I'll Be Leaving),"Country, Religious"
MT0001481574,Q1,"Rush, Rush","Pop/Rock, R&B"
MT0001486960,Q1,Heavy Makes You Happy (Sha-Na-Boom-Boom),"Electronic, R&B"
MT0001494812,Q4,Can You Stand the Rain,"Electronic, Pop/Rock, R&B"
MT0001497786,Q3,Rain Rain,Electronic
MT0001509368,Q1,Love Man,Pop/Rock
MT0001509615,Q3,Night Games,Pop/Rock
MT0001510617,Q2,Have a Beer with Fear,Pop/Rock
MT0001511433,Q4,O Little Town of Bethlehem,"Country, Holiday"
MT0001514284,Q1,Crimson Moon,Pop/Rock
MT0001515028,Q4,She Believes in Me,"Country, Pop/Rock"
MT0001518335,Q3,A Lover Is Forever,"Blues, Country, Pop/Rock"
MT0001521543,Q1,Shake Your Moneymaker,Blues
MT0001522985,Q3,Who Is It?,Electronic
MT0001523435,Q3,I Gotta Right to Sing the Blues,"Blues, Jazz, Vocal"
MT0001526514,Q1,As,"International, R&B"
MT0001528638,Q4,Jingle Bells,"Holiday, Vocal"
MT0001531856,Q1,Something You Got,"Jazz, R&B"
MT0001531906,Q4,The Last Mile of the Way,"R&B, Religious"
MT0001535201,Q3,Old Shoes,
MT0001542457,Q2,Show Down in Flames,Pop/Rock
MT0001547111,Q3,It's Over,"Folk, Pop/Rock"
MT0001553573,Q2,Silence = Death,"Electronic, International, Pop/Rock"
MT0001554870,Q2,Runnin' from the Law,Pop/Rock
MT0001566152,Q3,Blue Hotel,"Country, Pop/Rock"
MT0001578777,Q2,Bullet Train,"Electronic, Pop/Rock"
MT0001583214,Q2,Fmlyhm,"Pop/Rock, Stage & Screen"
MT0001590201,Q2,Gonna Get Close to You,Pop/Rock
MT0001590644,Q2,We Will Not,Pop/Rock
MT0001594582,Q4,I'll Be Your Baby Tonight,"Children's, Folk, Pop/Rock"
MT0001595082,Q2,Tonight in Flames,"Electronic, Pop/Rock"
MT0001598710,Q3,I Wanna Feel Something,"Country, Pop/Rock"
MT0001607665,Q4,5D (Fifth Dimension),Pop/Rock
MT0001608358,Q4,Let There Be Love,Pop/Rock
MT0001608499,Q3,Count to Six and Die (The Vacuum of Infinite Space Encompassing),Pop/Rock
MT0001609043,Q2,C11 H17 N2 O2 S Na,
MT0001609615,Q4,You Can't Fall in Love When You're Cryin',"Country, Pop/Rock"
MT0001610102,Q1,Da Ya Think I'm Sexy?,Electronic
MT0001612417,Q3,Could've Been You,Pop/Rock
MT0001613887,Q2,Of Devilish Tongues,"Electronic, International, Pop/Rock"
MT0001615005,Q2,Worlds Apart,Pop/Rock
MT0001624303,Q4,Thanks for the Memory,"Pop/Rock, Vocal"
MT0001634305,Q3,JC,Pop/Rock
MT0001638394,Q4,"His Eyes, Her Eyes","Jazz, Pop/Rock"
MT0001639011,Q1,Beautiful Life,"Electronic, Pop/Rock"
MT0001640581,Q4,Harvest,New Age
MT0001641165,Q2,Mama Said Knock You Out,Rap
MT0001642019,Q2,Death,"Electronic, International, Pop/Rock"
MT0001644811,Q4,Glow,R&B
MT0001646256,Q3,Laughter & Forgetting,"Jazz, Pop/Rock"
MT0001647040,Q4,Famous One,Religious
MT0001648703,Q2,It Won't Fade,Pop/Rock
MT0001653728,Q4,(There'll Be) Peace in the Valley,Country
MT0001658982,Q3,So It Goes,
MT0001659593,Q4,When a Lover Leaves You,"Electronic, Pop/Rock"
MT0001661022,Q4,The Christmas Song,"Holiday, Jazz, Vocal"
MT0001664577,Q1,Cindy C.,"Electronic, Pop/Rock, R&B"
MT0001671399,Q1,Caribbean Amphibian,Children's
MT0001673884,Q3,Since I Fell for You,"Jazz, Vocal"
MT0001698737,Q4,The Mighty Quinn (Quinn the Eskimo),Pop/Rock
MT0001699798,Q4,Sailing to Philadelphia,"Folk, Pop/Rock"
MT0001710592,Q2,Lovesick for Mina,Pop/Rock
MT0001722508,Q4,One Sweet Day,"Pop/Rock, R&B"
MT0001729778,Q4,The One,"Electronic, Latin, Pop/Rock, R&B"
MT0001738256,Q2,Price You Pay,Pop/Rock
MT0001741017,Q1,Find out What's Happening,"Pop/Rock, R&B"
MT0001753032,Q3,Pick Me Up on Your Way Down,Country
MT0001757676,Q1,Barstool Cowboy from Old Barstow,"Comedy/Spoken, Jazz"
MT0001765726,Q4,Somewhere,"Pop/Rock, Stage & Screen"
MT0001766004,Q2,Discharged Reason,Pop/Rock
MT0001770136,Q1,"Bleed Like a Craze, Dad","Electronic, Pop/Rock"
MT0001779167,Q2,Gets Me Through,Pop/Rock
MT0001795697,Q1,Drag City,Pop/Rock
MT0001801454,Q2,You Scared,Rap
MT0001810607,Q3,Long Winter,Reggae
MT0001829666,Q1,I Wanna Hold You,R&B
MT0001831738,Q1,I Finally Found Somebody,Country
MT0001832838,Q4,This Is to Mother You,Pop/Rock
MT0001835551,Q2,Crack Hitler,Pop/Rock
MT0001839466,Q3,The Girl I Never Loved,
MT0001841416,Q3,Shotgun (Blues),Blues
MT0001852290,Q2,Same Shit - Different Asshole,"International, Pop/Rock"
MT0001862892,Q3,Put Yourself in My Place,"Pop/Rock, R&B"
MT0001863823,Q4,Look at Us,Country
MT0001866808,Q3,Skylark,Jazz
MT0001879903,Q3,Pug,Pop/Rock
MT0001889075,Q2,The Grand Finale,Rap
MT0001889244,Q1,Mama's Pearl,"Electronic, Pop/Rock, R&B"
MT0001891260,Q3,Looks Like I'm up Shit Creek Again,"Country, Pop/Rock"
MT0001899447,Q3,That Hurts,Country
MT0001899867,Q1,Free,R&B
MT0001901436,Q4,Moments,"Electronic, Pop/Rock"
MT0001916633,Q4,Seventeen,"Country, Pop/Rock"
MT0001920501,Q3,Everybody's Laughing,"Blues, Jazz, Vocal"
MT0001921677,Q3,Thieves Like Us,
MT0001927015,Q1,"Papa's Got a Brand New Bag, Pt. 1",R&B
MT0001927474,Q4,A Whole New World,"Pop/Rock, Stage & Screen"
MT0001927921,Q2,Being Ignorant Is Awesome,Pop/Rock
MT0001929641,Q3,Roll 'Em Pete,"Blues, R&B"
MT0001934410,Q2,You Play on a Softball Team,Pop/Rock
MT0001934726,Q3,You Got Me Crying,"Blues, R&B"
MT0001938929,Q2,"Stupid, Stupid War",Pop/Rock
MT0001942272,Q4,Simple Things,"New Age, Pop/Rock"
MT0001943830,Q4,The Way Worn Traveler,"Country, Pop/Rock, Religious"
MT0001949173,Q4,Mermaid,"Pop/Rock, R&B"
MT0001954919,Q4,What We Believe In,"New Age, Pop/Rock"
MT0001962373,Q2,Authority,Pop/Rock
MT0001963447,Q2,Tenebrarum Oratorim (Andamento I),Pop/Rock
MT0001967655,Q4,Mississippi You're on My Mind,"Country, Pop/Rock"
MT0001972380,Q3,I Can See Now,"Jazz, New Age, Pop/Rock"
MT0001972829,Q3,The Bed I Made,"Blues, Pop/Rock"
MT0001974130,Q2,Wormwood,"Electronic, Pop/Rock"
MT0001978806,Q2,You Are an Orphan,Pop/Rock
MT0001980613,Q4,Wheels,"Country, International"
MT0001988811,Q3,Leaving Greensleeves,"Folk, Pop/Rock"
MT0001992879,Q2,Blood of Heroes,Pop/Rock
MT0001993588,Q2,Showdown,"Electronic, International, Pop/Rock"
MT0002006203,Q3,Ill Wind,"Jazz, Vocal"
MT0002006862,Q1,Bojangles of Harlem,"Stage & Screen, Vocal"
MT0002007417,Q3,Falling in Love Again,Vocal
MT0002014752,Q4,Nightingale,"Jazz, Vocal"
MT0002024101,Q2,Kill My Friends,Pop/Rock
MT0002024741,Q4,One Heartbeat,"Pop/Rock, R&B"
MT0002034238,Q1,Fell in Love With a Boy,"Pop/Rock, R&B"
MT0002052101,Q1,Real Gone Lover,"Country, Jazz, Pop/Rock"
MT0002052918,Q3,Hard Walking Hanna,"Blues, R&B"
MT0002054074,Q4,Like I Love You,"Pop/Rock, Religious"
MT0002057142,Q3,Don't Go to Sleep Without Me,Pop/Rock
MT0002060109,Q3,I Dream of Spring,"Country, Pop/Rock"
MT0002067509,Q1,I Wanna Grow Up To Be a Politician,Pop/Rock
MT0002068648,Q1,TV Movie,Pop/Rock
MT0002070314,Q1,Dinah-Moe Humm,
MT0002078701,Q1,Screaming and Yelling,"Pop/Rock, Stage & Screen"
MT0002087345,Q4,Steer Me Right,"Electronic, Reggae, Religious"
MT0002087541,Q3,Not Forgotten,Pop/Rock
MT0002088249,Q1,Flesh and Blood,"International, Pop/Rock"
MT0002099419,Q2,The Travel Jam,Rap
MT0002113056,Q1,Ac-Cent-Tchu-Ate the Positive,Vocal
MT0002131125,Q2,Dedication,"Electronic, Pop/Rock"
MT0002132088,Q4,Fourth of July,"Electronic, Pop/Rock, R&B"
MT0002139311,Q1,No More Looking for Love,"Electronic, Pop/Rock"
MT0002142155,Q3,The Man That Got Away,"Jazz, Vocal"
MT0002169629,Q2,Soul in Flames,"Electronic, International, Pop/Rock"
MT0002177145,Q1,Getting Closer,"Electronic, Pop/Rock"
MT0002179342,Q1,Stomp,Religious
MT0002193996,Q4,It's All Right,"Pop/Rock, R&B"
MT0002213644,Q3,Mr. Wrong,"Pop/Rock, R&B"
MT0002216668,Q4,Endless Love,R&B
MT0002219182,Q1,Just Because,"Country, Pop/Rock"
MT0002222944,Q2,Synplicity,"Pop/Rock, Rap"
MT0002225477,Q2,Survival of the Fittest,"Gangsta Rap,East Coast Rap,Hardcore Rap,Rap"
MT0002238737,Q4,Nothings Happening by The,"Easy Listening, Pop/Rock"
MT0002239079,Q2,Ruff Ryders' Anthem,Rap
MT0002240771,Q1,Lyla,Pop/Rock
MT0002250135,Q3,Great Lake Swimmers,Pop/Rock
MT0002252353,Q2,From the Dark Side,"Rap, Stage & Screen"
MT0002272314,Q2,War,Pop/Rock
MT0002277261,Q3,Dinner Bells,Pop/Rock
MT0002291660,Q2,We're the Oppressed,Pop/Rock
MT0002294387,Q1,Deeper and Deeper [Album Edit],"Electronic, Pop/Rock"
MT0002298774,Q2,Hybrid Stigmata-The Apostasy,Pop/Rock
MT0002306900,Q4,Naked,R&B
MT0002307435,Q3,She Fades Away,Pop/Rock
MT0002316145,Q2,Colors,Rap
MT0002320670,Q4,Karmacoma,Electronic
MT0002325544,Q3,It's All Over,"Country, Pop/Rock"
MT0002336535,Q3,Avril au Portugal,"Pop/Rock, Vocal"
MT0002337555,Q2,Middle Class Revolt,Pop/Rock
MT0002342346,Q2,Don't Hold Back,Pop/Rock
MT0002343160,Q1,The Other Side of Summer,"Alternative/Indie Rock,Pop/Rock,College Rock,Adult Alternative Pop/Rock,Contemporary Pop/Rock"
MT0002343207,Q1,Kiss,"Electronic, R&B"
MT0002347246,Q1,Baby Baby Baby Baby Ooh Baby,Rap
MT0002351905,Q1,Ain't Going Down (Til the Sun Comes Up),Country
MT0002355423,Q4,Unsung Psalm,"Folk, Pop/Rock"
MT0002355518,Q3,Sunrise,Pop/Rock
MT0002358457,Q1,Love's Theme,R&B
MT0002359628,Q4,Dog & Butterfly,Pop/Rock
MT0002360219,Q1,Keepin' the Summer Alive,Pop/Rock
MT0002362108,Q1,Caldonia (What Makes Your Big Head So Hard?),Jazz
MT0002366291,Q1,Deeper and Deeper [Shep's Fierce Deeper Dub],"Electronic, Pop/Rock"
MT0002371970,Q4,"""En Gallop""","Folk, Pop/Rock"
MT0002372242,Q2,A Nigga Witta Gun,Rap
MT0002374117,Q4,Ceiling,Pop/Rock
MT0002379942,Q2,Soul Devourer,"Electronic, International, Pop/Rock"
MT0002388592,Q4,Thank You,Rap
MT0002390941,Q3,Disease of Conceit,Pop/Rock
MT0002396250,Q2,Sometimes,Pop/Rock
MT0002397625,Q4,"Promises, Promises","Easy Listening, Pop/Rock"
MT0002399275,Q2,Broke,Pop/Rock
MT0002438908,Q4,Were You There?,"R&B, Religious"
MT0002460914,Q2,Knockin' Niggaz Off,Rap
MT0002472723,Q1,"That Was Then, This Is Now",Pop/Rock
MT0002477987,Q3,Columbus Stockade,Folk
MT0002479795,Q2,Fury in My Eyes/Revenge,"Rap, Stage & Screen"
MT0002485672,Q3,Transit,"Avant-Garde, Electronic, Pop/Rock"
MT0002510318,Q3,Green Grass of Tunnel,"Electronic, Pop/Rock"
MT0002515172,Q4,O Little Town of Bethlehem,"Holiday, Pop/Rock, Vocal"
MT0002532237,Q1,Big Bad Bill,"Comedy/Spoken, Jazz"
MT0002538335,Q1,Red Red,Reggae
MT0002541988,Q4,How Deep Is the Ocean?,"Jazz, Vocal"
MT0002549047,Q3,Going Down Slow,R&B
MT0002549944,Q2,The Kill in Me,"Pop/Rock, Rap"
MT0002580064,Q3,Early in the Morning,"Blues, Pop/Rock"
MT0002585767,Q3,I Forgot More Than You'll Ever Know,Country
MT0002591418,Q4,By Heart,"New Age, Pop/Rock"
MT0002595792,Q1,The Sheik of Araby,"Comedy/Spoken, Jazz"
MT0002602057,Q2,American Buttfuckers,Pop/Rock
MT0002604697,Q3,Like Moon Behind A Cloud,"Jazz, Vocal"
MT0002619035,Q4,What a Wonderful World,Country
MT0002621498,Q2,Architecture of a Genocidal Nature,Pop/Rock
MT0002634024,Q3,Is It Because I'm Black?,"R&B, Reggae"
MT0002638821,Q4,Love Alive,Pop/Rock
MT0002645049,Q1,Shoplifting Clothes,"Pop/Rock, R&B, Stage & Screen"
MT0002655864,Q2,Vietnow,Pop/Rock
MT0002659854,Q4,Reason for the Season,"Country, Holiday"
MT0002662293,Q3,Sick and Tired,Pop/Rock
MT0002672499,Q1,Twist and Shout,"Pop/Rock, R&B"
MT0002675791,Q4,Welcome to My World,"Country, Pop/Rock, Vocal"
MT0002698706,Q1,Chico and the Man,"Pop/Rock, Vocal"
MT0002698827,Q4,The Lily of the Valley,"Country, Pop/Rock, Religious"
MT0002700026,Q1,Spanish Eyes,"Latin, Pop/Rock"
MT0002701422,Q2,Beyond Good & Evil,"International, Pop/Rock"
MT0002709704,Q1,Bye Bye Bye,"Electronic, Pop/Rock"
MT0002711792,Q2,Skinfather,"Electronic, International, Pop/Rock"
MT0002714093,Q3,She Can't Save Him,"Country, Pop/Rock"
MT0002716927,Q4,California Stars,"Folk, Pop/Rock"
MT0002737189,Q2,Time for Livin',"Electronic, Pop/Rock, Rap"
MT0002739845,Q2,Everything Falls Apart,Pop/Rock
MT0002749253,Q2,I Found Out,
MT0002760912,Q3,Television,Electronic
MT0002761408,Q2,Beauty from the Past,"Electronic, International, Pop/Rock"
MT0002762445,Q1,Take a Friend,"Electronic, Pop/Rock"
MT0002771537,Q3,I Only Wanted,R&B
MT0002784741,Q3,I Drink,Country
MT0002786674,Q1,They All Laughed,"Jazz, Vocal"
MT0002803746,Q4,Tomorrow Mountain,"Jazz, Vocal"
MT0002810052,Q2,Victory,Pop/Rock
MT0002840704,Q1,She's Coming Home With Me,"Electronic, Rap"
MT0002842988,Q2,Train of Consequences,"Pop/Rock,Speed/Thrash Metal,Heavy Metal"
MT0002844771,Q3,Some Say I'm Running,"Country, Electronic, Pop/Rock"
MT0002846256,Q4,Miracle,"Children's, Pop/Rock"
MT0002858390,Q4,Santa Claus Is Coming to Town,"Holiday, Jazz, Vocal"
MT0002859848,Q4,Your Love,New Age
MT0002872113,Q4,Life's Railway to Heaven,"Country, Religious"
MT0002875103,Q2,I Like You Ok,Pop/Rock
MT0002889321,Q2,Tyranic Oppression,"Electronic, Pop/Rock"
MT0002894033,Q1,Beer Run,Country
MT0002903697,Q4,Blue Heaven Rendezvous,Pop/Rock
MT0002905185,Q3,Long Time,Blues
MT0002907679,Q1,Don't Say Goodbye,"Electronic, Pop/Rock"
MT0002909109,Q1,Mustang Sally,R&B
MT0002909741,Q3,"Above, Below and Inbetween",Pop/Rock
MT0002915967,Q3,Billie's Blues,"Jazz, Vocal"
MT0002920876,Q4,Tonight I Just Need My Guitar,Pop/Rock
MT0002928993,Q3,Quicksand,"Blues, R&B"
MT0002939380,Q2,Without a Face,Pop/Rock
MT0002949712,Q2,Inflikted,"Electronic, Pop/Rock"
MT0002951872,Q1,Wonder Woman,"Blues, Pop/Rock"
MT0002954708,Q2,Eyes Shut Tight,"Electronic, Pop/Rock"
MT0002960288,Q4,He's Alive,"Country, Religious"
MT0002962258,Q1,Body Movin',"Pop/Rock, Rap"
